intermediary_name,payer_name,cpt_code,state,allowed_amount,effective_date,notes
Headway,Premera Blue Cross Washington,99215,AK,,,
Headway,Premera Blue Cross Washington,90833,AK,,,
Headway,Premera Blue Cross Washington,90836,AK,,,
Headway,Premera Blue Cross Washington,90838,AK,,,
Headway,Regence BlueShield of Washington,99204,WA,,,
Headway,Regence BlueShield of Washington,99205,WA,,,
Headway,Regence BlueShield of Washington,99214,WA,,,
Headway,Regence BlueShield of Washington,99215,WA,,,
Headway,Regence BlueShield of Washington,90833,WA,,,
Headway,Regence BlueShield of Washington,90836,WA,,,
Headway,Regence BlueShield of Washington,90838,WA,,,
Headway,Regence BlueCross BlueShield of Oregon,99204,OR,,,
Headway,Regence BlueCross BlueShield of Oregon,99205,OR,,,
Headway,Regence BlueCross BlueShield of Oregon,99214,OR,,,
Headway,Regence BlueCross BlueShield of Oregon,99215,OR,,,
Headway,Regence BlueCross BlueShield of Oregon,90833,OR,,,
Headway,Regence BlueCross BlueShield of Oregon,90836,OR,,,
Headway,Regence BlueCross BlueShield of Oregon,90838,OR,,,
Headway,Blue Cross Blue Shield of Massachusetts,99204,MD,,,
Headway,Blue Cross Blue Shield of Massachusetts,99205,MD,,,
Headway,Blue Cross Blue Shield of Massachusetts,99214,MD,,,
Headway,Blue Cross Blue Shield of Massachusetts,99215,MD,,,
Headway,Blue Cross Blue Shield of Massachusetts,90833,MD,,,
Headway,Blue Cross Blue Shield of Massachusetts,90836,MD,,,
Headway,Blue Cross Blue Shield of Massachusetts,90838,MD,,,
Headway,Blue Cross Blue Shield of Massachusetts,99204,DC,,,
Headway,Blue Cross Blue Shield of Massachusetts,99205,DC,,,
Headway,Blue Cross Blue Shield of Massachusetts,99214,DC,,,
Headway,Blue Cross Blue Shield of Massachusetts,99215,DC,,,
Headway,Blue Cross Blue Shield of Massachusetts,90833,DC,,,
Headway,Blue Cross Blue Shield of Massachusetts,90836,DC,,,
Headway,Blue Cross Blue Shield of Massachusetts,90838,DC,,,
Headway,Blue Cross and Blue Shield of Minnesota,99204,MN,,,
Headway,Blue Cross and Blue Shield of Minnesota,99205,MN,,,
Headway,Blue Cross and Blue Shield of Minnesota,99214,MN,,,
Headway,Blue Cross and Blue Shield of Minnesota,99215,MN,,,
Headway,Blue Cross and Blue Shield of Minnesota,90833,MN,,,
Headway,Blue Cross and Blue Shield of Minnesota,90836,MN,,,
Headway,Blue Cross and Blue Shield of Minnesota,90838,MN,,,
Headway,Blue Cross Blue Shield of Arizona,99204,AZ,,,
Headway,Blue Cross Blue Shield of Arizona,99205,AZ,,,
Headway,Blue Cross Blue Shield of Arizona,99214,AZ,,,
Headway,Blue Cross Blue Shield of Arizona,99215,AZ,,,
Headway,Blue Cross Blue Shield of Arizona,90833,AZ,,,
Headway,Blue Cross Blue Shield of Arizona,90836,AZ,,,
Headway,Blue Cross Blue Shield of Arizona,90838,AZ,,,
Headway,Anthem Blue Cross and Blue Shield Colorado,99204,CO,,,
Headway,Anthem Blue Cross and Blue Shield Colorado,99205,CO,,,
Headway,Anthem Blue Cross and Blue Shield Colorado,99214,CO,,,
Headway,Anthem Blue Cross and Blue Shield Colorado,99215,CO,,,
Headway,Anthem Blue Cross and Blue Shield Colorado,90833,CO,,,
Headway,Anthem Blue Cross and Blue Shield Colorado,90836,CO,,,
Headway,Anthem Blue Cross and Blue Shield Colorado,90838,CO,,,
Headway,Independence Blue Cross Pennsylvania,99204,DC,,,
Headway,Independence Blue Cross Pennsylvania,99205,DC,,,
Headway,Independence Blue Cross Pennsylvania,99214,DC,,,
Headway,Independence Blue Cross Pennsylvania,99215,DC,,,
Headway,Independence Blue Cross Pennsylvania,90833,DC,,,
Headway,Independence Blue Cross Pennsylvania,90836,DC,,,
Headway,Independence Blue Cross Pennsylvania,90838,DC,,,
Headway,Independence Blue Cross Pennsylvania,99204,MD,,,
